text,hashtags,date,user,users number of followers,location
"@SavannahGuthrie  harping on the testing of COVID and mask-wearing is so annoying and cringe.  Women should not be reporters
",[],2020-10-16 00:10:16,DissidentPill,662,
"Covid has shown that college football coaches are dangerous morons who will stop at nothing to continue to try to make tens of millions off the back of unpaid labour.  Dan Mullen can eat a dick.
",[],2020-10-16 00:10:16,AssortedGoodsPC,2156,"Your Ears/London, Ontario 🍁"
"Lincoln Southeast's varsity football, volleyball games canceled Thursday 'out of abundance of caution' related to COVID-19 https://t.co/P6WKufrm1E #nebpreps
",[],2020-10-16 00:10:16,PrepExtra,11053,"Lincoln, Nebraska"
"Wow. @senatemajldr and @gop totally used @realDonaldTrump to get SCOTUS and now Mitch and @SenateGOP abandoning him. Massive disrespect to not put up @realDonaldTrump COVID relief plan for vote. Totally stabbing @realDonaldTrump in the back.
",[],2020-10-16 00:10:17,FunkKatherineI1,83,"Maryland, USA"
"https://t.co/UFxAy2azsL since May
",[],2020-10-16 00:10:17,mizzynutz,498,
"What??
",[],2020-10-16 00:10:17,VAReadjuster89,389,Outter Loop of the Beltway
"The Town of Lakeshore is joining an initiative that tests untreated wastewater for evidence of COVID-19. https://t.co/SoHTcGXCAk
",[],2020-10-16 00:10:17,CTVWindsor,31249,"Windsor, Ont."
"@ari_russian .@NBCNews Samantha now interrogating the President about COVID.  NINE minutes! Is this going to go all night?!!
",[],2020-10-16 00:10:17,120w_max,1683,
"Remember what the “professionals” said in the beginning. 2,000,000 people could be lost to #covid19 Also remember that it was Dr Anthony Fauci himself that said “I can’t imagine anybody could be doing more” when referring to @realDonaldTrump and the Covid White House task force. https://t.co/S6qH1vR44c
",['covid19'],2020-10-16 00:10:18,Johnmcurtis,30,United States
"A New York City antiviral drug company that’s working on therapeutics for Covid-19 and other respiratory viruses is moving its headquarters to Rockville.​ https://t.co/OA0fFkB4FS
",[],2020-10-16 00:10:18,WBJonline,32014,"Washington, D.C."
"@mkraju 🦠🦠🦠#Covid 🔥19🔥 days to go til it's a wrap folks — GO. VOTE.   #PresidentBiden  #BLUESenate
","['Covid', 'PresidentBiden', 'BLUESenate']",2020-10-16 00:10:19,bonjouryall,1065,same planet as you
"I kuku believe you #EndSWATNow #EndsSARS
","['EndSWATNow', 'EndsSARS']",2020-10-16 00:10:19,tweetlawunmi,2520,
"I guess @GovChristie discovered water was wet
",[],2020-10-16 00:10:19,only1alexis,699,"St Louis, MO"
"@dekockmeister yeah ik but i’m gonna miss out on the tradition . people have been going to ditch days since gr9 and i’ve never been . it’s really sad to think of but i guess i also don’t wanna get covid so the safest is the party  , which id go to regardless
",[],2020-10-16 00:10:19,amanimia_,682,palestine 🇵🇸
"God, theres the spin. ""Trump claims gold star families gave him covid"".   #bitch #NBCTrumptownhall
","['bitch', 'NBCTrumptownhall']",2020-10-16 00:10:19,Ladyseren7,89,
"Look at those eyes! SURE, it’s her STAFF that has Covid-19! Does she look VERY ill merely out of sympathy for them...AND because she and Joe were so cruelly gleeful about the President and his family’s Covid diagnosis? https://t.co/CLTANGjfiq
",[],2020-10-16 00:10:19,GretchenInOK,28507,"Oklahoma, USA"
"@NovJewel @mmpadellan I had ripped out Gary Herbert about masks earlier. Thought I was back in jail. Utah is in deep shit with Covid numbers.
",[],2020-10-16 00:10:20,CharleyRose62,13,
